site;replica;complx_3m;ext_m_tetra;ext_m_brachi;ext_m_chth;incl_graus_franja;incl_graus_tetra;incl_graus_brachi;incl_graus_chth;extensao;inclinacao
Cibratel;1;1,229508197;0,2;0,96;2,9;45;87;79;30;1,353333333;60,25
Cibratel;2;1,25;0,6;1,38;1,5;50;31;80;70;1,16;57,75
Cibratel;3;1,153846154;1;2,2;4,1;42;55;25;28;2,433333333;37,5
Cibratel;4;1,428571429;1,5;5,7;6,2;32;39;26;85;4,466666667;45,5
Cibratel;5;1,224489796;0,57;2,1;3,52;11;80;31;50;2,063333333;43
Sonho;1;1,153846154;2,65;10,32;12;30;22;21;12;8,323333333;21,25
Sonho;2;1,162790698;3,2;6,1;8,6;9;19;27;1;5,966666667;14
Sonho;3;1,167315175;1,81;7,3;12,78;16;2;5;34;7,296666667;14,25
Sonho;4;1,244813278;0,9;4,8;7,9;9;60;17;14;4,533333333;25
Sonho;5;1,136363636;0,8;4,6;5,57;31;24;12;17;3,656666667;21
Pescadores;1;1,136363636;4,03;10,67;11,6;5;40;5;10;8,766666667;15
Pescadores;2;1,195219124;1,23;12,9;14,4;15;22;3;10;9,51;12,5
Pescadores;3;1,234567901;3,75;5,06;7,1;2;18;9;4;5,303333333;8,25
Pescadores;4;1,376146789;2,3;4,2;5,7;6;41;15;24;4,066666667;21,5
Pescadores;5;1,123595506;0,95;3,02;3,48;21;28;14;12;2,483333333;18,75
Guaiúba;1;1,304347826;0,9;3,9;4,4;30;35;33;28;3,066666667;31,5
Guaiúba;2;1,363636364;1,2;2,12;2,2;40;18;27;28;1,84;28,25
Guaiúba;3;1,25;2,7;5,6;6,7;15;22;6;7;5;12,5
Guaiúba;4;1,234567901;2,8;4,2;4,76;22;26;15;30;3,92;23,25
Guaiúba;5;1,098901099;0,4;0,7;1,2;81;72;47;43;0,766666667;60,75
Astúrias;1;1,063829787;0,89;3,74;4,23;29;26;5;18;2,953333333;19,5
Astúrias;2;1,224489796;2,98;6,7;7,82;20;8;8;6;5,833333333;10,5
Astúrias;3;1,219512195;1,53;3,97;4,95;13;4;12;10;3,483333333;9,75
Astúrias;4;1,282051282;3,19;3,4;4,31;21;2;25;23;3,633333333;17,75
Astúrias;5;2,272727273;1,4;1,85;2,35;14;69;13;15;1,866666667;27,75
Enseada (Guarujá);1;1,086956522;0,9;2,26;5,26;5;10;21;14;2,806666667;12,5
Enseada (Guarujá);2;1,045296167;1,1;2,8;4,7;5;13;20;15;2,866666667;13,25
Enseada (Guarujá);3;1,034482759;1,45;3,96;8,4;8;25;16;8;4,603333333;14,25
Enseada (Guarujá);4;1,034482759;1,1;7,5;10,8;5;11;20;3;6,466666667;9,75
Enseada (Guarujá);5;1,020408163;0,65;3,8;5,05;6;15;20;8;3,166666667;12,25
Éden;1;1,25;0,4;2,4;3,41;89;78;28;34;2,07;57,25
Éden;2;1,234567901;0,25;2,1;3,9;35;72;25;24;2,083333333;39
Éden;3;1,224489796;0,1;1,8;2,45;15;70;25;18;1,45;32
Éden;4;1,333333333;0,7;2,8;3;9;34;42;70;2,166666667;38,75
Éden;5;1,515151515;0,25;2,9;3,7;12;50;20;49;2,283333333;32,75
Sorocotuba;1;1,376146789;0,41;1,88;2,98;2;30;20;44;1,756666667;24
Sorocotuba;2;1,604278075;0,5;1,82;2,2;21;45;38;36;1,506666667;35
Sorocotuba;3;1,282051282;0,4;2,4;3,75;26;42;20;35;2,183333333;30,75
Sorocotuba;4;1,492537313;0,12;1,2;3,06;11;75;11;44;1,46;35,25
Sorocotuba;5;1,401869159;0,1;3,97;5,02;30;87;26;30;3,03;43,25
Pernambuco;1;1,079136691;0,3;3,04;5,9;12;17;24;3;3,08;14
Pernambuco;2;1,796407186;1,2;2,57;4,02;34;15;9;26;2,596666667;21
Pernambuco;3;1,25;0,6;1,6;2,14;50;70;30;20;1,446666667;42,5
Pernambuco;4;1,167315175;2,67;3,04;4,52;10;8;68;30;3,41;29
Pernambuco;5;1,10701107;0,82;2,37;3,37;31;12;15;20;2,186666667;19,5
São Pedro;1;1,875;1,5;5,22;6;28;50;12;16;4,24;26,5
São Pedro;2;1,304347826;2,3;3,4;4,35;29;25;30;22;3,35;26,5
São Pedro;3;1,181102362;2,47;5,55;5,87;42;30;4;19;4,63;23,75
