"region","subregion","chl_mean","sst_mean","fwd_mean","poc_mean","dist_S","wf_log","rugosity","easting","northing","lat","long","site","complx_3m","ext_m_tetra","ext_m_brachi","ext_m_chth","incl_graus_franja","incl_graus_tetra","incl_graus_brachi","incl_graus_chth","extensao","inclinacao","mean_exp","sst_mean.1","sst_CV","distCentro","pop_2010","pop_est_2017","cresc_anual","densidade_km2","distance_S"
"SW-NE","MRBS",7.127,25.259,0.977,571.099,0,4.079989,1.257,316145.026398974,7322342.06316073,-24.20088,-46.81024,"Cibratel",1.25728311501145,0.774,2.468,3.644,36,58.4,48.2,52.6,2.29533333333333,48.8,12001.3094593395,25.2593265315385,11.9313562498676,55.3330461545336,87057,98629,1.67612249657084,144.69,0
"SW-NE","MRBS",9.866,25.275,0.994,582.055,1.05,4.073635,1.173,317059.875562896,7322861.2213644,-24.1963,-46.80117,"Sonho",1.17302578819796,1.872,6.624,9.37,19,25.4,16.4,15.6,5.95533333333333,19.1,11123.195968967,25.2749995823077,11.8930297613591,54.2813801731244,87057,98629,1.67612249657084,144.69,1.051875
"SW-NE","MRBS",8.049,25.222,1,584.927,1.88,4.11954,1.213,317882.296414225,7323065.64732215,-24.19455,-46.79305,"Pescadores",1.2131785911426,2.452,7.17,8.456,9.8,29.8,9.2,12,6.026,15.2,12525.455005787,25.2220531539286,11.6009269794363,53.4612183199391,87057,98629,1.67612249657084,144.69,1.88191
"SW-NE","MRBS",12.219,25.538,1.031,587.073,56.15,3.738743,1.25,368188.079039868,7343400.7639371,-24.01595,-46.29603,"Guaiúba",1.2502906379718,1.6,3.304,3.852,37.6,34.6,25.6,27.2,2.91866666666667,31.25,5999.81412479795,25.5381243914286,11.5482110253797,6.28666881292325,290752,315563,1.1232079082239,2026.8,56.14724
"SW-NE","MRBS",5.767,25.399,0.949,511.253,59.23,3.6317,1.413,371222.105421394,7344123.83398171,-24.00967,-46.26614,"Astúrias",1.41252206661058,1.998,3.932,4.732,19.4,21.8,12.6,14.4,3.554,17.05,6471.95654296875,25.3992963428125,11.1215299810916,7.88613710663476,290752,315563,1.1232079082239,2026.8,59.233413
"SW-NE","MRBS",6.934,25.436,0.922,568.68,61.63,3.91065,1.044,373103.989246484,7345856.00175446,-23.99418,-46.24749,"Enseada (Guarujá)",1.04432527389864,1.04,4.064,6.842,5.8,14.8,19.4,9.6,3.982,12.4,8706.85087076823,25.4363327343333,11.387175327616,8.78061908128467,290752,315563,1.1232079082239,2026.8,61.627727
"SW-NE","MRBS",4.568,25.402,0.859,426.162,67.72,3.90032,1.312,379312.823630726,7346733.52484407,-23.98674,-46.18639,"Éden",1.31150850912756,0.34,2.4,3.292,32,60.8,28,39,2.01066666666667,39.95,10349.3412155878,25.40205818,10.8006555839056,14.6514492162597,290752,315563,1.1232079082239,2026.8,67.720886
"SW-NE","MRBS",4.629,25.439,0.851,429.559,67.88,3.840626,1.431,379276.726088553,7347274.72753037,-23.98185,-46.1867,"Sorocotuba",1.43137652364395,0.306,2.254,3.402,18,55.8,23,37.8,1.98733333333333,33.65,8395.81054027661,25.4392181034375,11.048096848839,14.552997540719,290752,315563,1.1232079082239,2026.8,67.88415
"SW-NE","MRBS",5.843,24.923,0.839,424.79,68.43,3.902347,1.28,379518.70552796,7348143.83638364,-23.97402,-46.18425,"Pernambuco",1.27997402429684,1.118,2.524,3.99,27.4,24.4,29.2,19.8,2.544,25.2,8821.44306828425,24.9225919338889,9.97850780180834,14.7360100401015,290752,315563,1.1232079082239,2026.8,68.432329
"SW-NE","MRBS",5.287,25.183,0.883,470.606,73.78,3.73748,1.402,381991.126156692,7355599.19497306,-23.90688,-46.15935,"São Pedro",1.40201789883985,NA,NA,NA,34.6,44.8,30.6,23.2,NA,33.3,7708.80866699219,25.1826606874194,10.0471376790774,18.5343417157347,290752,315563,1.1232079082239,2026.8,73.776611
"SW-NE","MRBS",4.891,25.326,0.859,452.81,74.92,4.072367,1.073,383162.19479301,7355811.39630028,-23.90505,-46.14783,"Iporanga",NA,2.166,4.03,5.824,21.8,19.4,12.2,9.4,4.00666666666667,15.7,11154.0475779566,25.3255297342424,10.027915771851,19.7018449950957,290752,315563,1.1232079082239,2026.8,74.918631
