site	adultos	total	region	subregion	chl_mean	sst_mean	fwd_mean	wf_log	rugosity	easting	northing	ext_m_tetra	incl_graus_tetra	pop_2010	ndvi	ext
Cibratel	12	21	SW-NE	MRBS	7.127	25.259	0.977	4.080	1.257	316145.02639897	7322342.06316073	0.77	58.40	87057	0.086	2.295
Cibratel	3	4	SW-NE	MRBS	7.127	25.259	0.977	4.080	1.257	316145.02639897	7322342.06316073	0.77	58.40	87057	0.086	2.295
Cibratel	3	13	SW-NE	MRBS	7.127	25.259	0.977	4.080	1.257	316145.02639897	7322342.06316073	0.77	58.40	87057	0.086	2.295
Cibratel	3	4	SW-NE	MRBS	7.127	25.259	0.977	4.080	1.257	316145.02639897	7322342.06316073	0.77	58.40	87057	0.086	2.295
Cibratel	6	9	SW-NE	MRBS	7.127	25.259	0.977	4.080	1.257	316145.02639897	7322342.06316073	0.77	58.40	87057	0.086	2.295
Cibratel	1	3	SW-NE	MRBS	7.127	25.259	0.977	4.080	1.257	316145.02639897	7322342.06316073	0.77	58.40	87057	0.086	2.295
Cibratel	2	5	SW-NE	MRBS	7.127	25.259	0.977	4.080	1.257	316145.02639897	7322342.06316073	0.77	58.40	87057	0.086	2.295
Cibratel	0	4	SW-NE	MRBS	7.127	25.259	0.977	4.080	1.257	316145.02639897	7322342.06316073	0.77	58.40	87057	0.086	2.295
Cibratel	3	6	SW-NE	MRBS	7.127	25.259	0.977	4.080	1.257	316145.02639897	7322342.06316073	0.77	58.40	87057	0.086	2.295
Cibratel	4	6	SW-NE	MRBS	7.127	25.259	0.977	4.080	1.257	316145.02639897	7322342.06316073	0.77	58.40	87057	0.086	2.295
Cibratel	5	10	SW-NE	MRBS	7.127	25.259	0.977	4.080	1.257	316145.02639897	7322342.06316073	0.77	58.40	87057	0.086	2.295
Cibratel	3	9	SW-NE	MRBS	7.127	25.259	0.977	4.080	1.257	316145.02639897	7322342.06316073	0.77	58.40	87057	0.086	2.295
Cibratel	1	2	SW-NE	MRBS	7.127	25.259	0.977	4.080	1.257	316145.02639897	7322342.06316073	0.77	58.40	87057	0.086	2.295
Cibratel	0	5	SW-NE	MRBS	7.127	25.259	0.977	4.080	1.257	316145.02639897	7322342.06316073	0.77	58.40	87057	0.086	2.295
Cibratel	NA	0	SW-NE	MRBS	7.127	25.259	0.977	4.080	1.257	316145.02639897	7322342.06316073	0.77	58.40	87057	0.086	2.295
Sonho	2	7	SW-NE	MRBS	9.866	25.275	0.994	4.074	1.173	317059.87556290	7322861.22136440	1.87	25.40	87057	0.043	5.955
Sonho	0	1	SW-NE	MRBS	9.866	25.275	0.994	4.074	1.173	317059.87556290	7322861.22136440	1.87	25.40	87057	0.043	5.955
Sonho	2	3	SW-NE	MRBS	9.866	25.275	0.994	4.074	1.173	317059.87556290	7322861.22136440	1.87	25.40	87057	0.043	5.955
