"site","replica","cover","subregion","region","chl_mean","sst_mean","fwd_mean","wf_log","rugosity","inclinacao","easting","northing","distance_S","str_size","str_ab"
"Almada",1,0.64,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9
"Almada",2,0.36,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9
"Almada",3,0.56,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9
"Almada",4,0.43,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9
"Almada",5,0.52,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9
"Almada",6,0.49,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9
"Almada",7,0.45,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9
"Almada",8,0.64,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9
"Almada",9,0.23,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9
"Almada",10,0.56,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9
"Arpoador",1,0.73,"MRRJ","W-E",5.985,24.305,0.675,4.140668,1.245,33.65,685372.347068603,7456388.95843599,392.909085,19.9693103448276,34
"Arpoador",2,0.75,"MRRJ","W-E",5.985,24.305,0.675,4.140668,1.245,33.65,685372.347068603,7456388.95843599,392.909085,19.9693103448276,34
"Arpoador",3,0.86,"MRRJ","W-E",5.985,24.305,0.675,4.140668,1.245,33.65,685372.347068603,7456388.95843599,392.909085,19.9693103448276,34
"Arpoador",4,0.89,"MRRJ","W-E",5.985,24.305,0.675,4.140668,1.245,33.65,685372.347068603,7456388.95843599,392.909085,19.9693103448276,34
"Arpoador",5,0.77,"MRRJ","W-E",5.985,24.305,0.675,4.140668,1.245,33.65,685372.347068603,7456388.95843599,392.909085,19.9693103448276,34
"Arpoador",6,0.94,"MRRJ","W-E",5.985,24.305,0.675,4.140668,1.245,33.65,685372.347068603,7456388.95843599,392.909085,19.9693103448276,34
"Arpoador",7,1,"MRRJ","W-E",5.985,24.305,0.675,4.140668,1.245,33.65,685372.347068603,7456388.95843599,392.909085,19.9693103448276,34
"Arpoador",8,0.98,"MRRJ","W-E",5.985,24.305,0.675,4.140668,1.245,33.65,685372.347068603,7456388.95843599,392.909085,19.9693103448276,34
"Arpoador",9,0.8,"MRRJ","W-E",5.985,24.305,0.675,4.140668,1.245,33.65,685372.347068603,7456388.95843599,392.909085,19.9693103448276,34
"Arpoador",10,0.57,"MRRJ","W-E",5.985,24.305,0.675,4.140668,1.245,33.65,685372.347068603,7456388.95843599,392.909085,19.9693103448276,34
"Astúrias",1,0.71,"MRBS","SW-NE",5.767,25.399,0.949,3.6317,1.413,17.05,371222.105421394,7344123.83398171,59.233413,16.6850581395349,NA
"Astúrias",2,0.99,"MRBS","SW-NE",5.767,25.399,0.949,3.6317,1.413,17.05,371222.105421394,7344123.83398171,59.233413,16.6850581395349,NA
"Astúrias",3,0.83,"MRBS","SW-NE",5.767,25.399,0.949,3.6317,1.413,17.05,371222.105421394,7344123.83398171,59.233413,16.6850581395349,NA
"Astúrias",4,0.75,"MRBS","SW-NE",5.767,25.399,0.949,3.6317,1.413,17.05,371222.105421394,7344123.83398171,59.233413,16.6850581395349,NA
"Astúrias",5,0.99,"MRBS","SW-NE",5.767,25.399,0.949,3.6317,1.413,17.05,371222.105421394,7344123.83398171,59.233413,16.6850581395349,NA
"Astúrias",6,0.87,"MRBS","SW-NE",5.767,25.399,0.949,3.6317,1.413,17.05,371222.105421394,7344123.83398171,59.233413,16.6850581395349,NA
"Astúrias",7,0.82,"MRBS","SW-NE",5.767,25.399,0.949,3.6317,1.413,17.05,371222.105421394,7344123.83398171,59.233413,16.6850581395349,NA
"Astúrias",8,0.76,"MRBS","SW-NE",5.767,25.399,0.949,3.6317,1.413,17.05,371222.105421394,7344123.83398171,59.233413,16.6850581395349,NA
"Astúrias",9,NA,"MRBS","SW-NE",5.767,25.399,0.949,3.6317,1.413,17.05,371222.105421394,7344123.83398171,59.233413,16.6850581395349,NA
"Astúrias",10,NA,"MRBS","SW-NE",5.767,25.399,0.949,3.6317,1.413,17.05,371222.105421394,7344123.83398171,59.233413,16.6850581395349,NA
"Atalaia",1,0.24,"LRRJ","W-E",2.671,23.13,0.566,3.332353,1.167,28,806552.061675709,7454866.80522792,508.051757,32.8596774193548,31
"Atalaia",2,0.03,"LRRJ","W-E",2.671,23.13,0.566,3.332353,1.167,28,806552.061675709,7454866.80522792,508.051757,32.8596774193548,31
"Atalaia",3,0.04,"LRRJ","W-E",2.671,23.13,0.566,3.332353,1.167,28,806552.061675709,7454866.80522792,508.051757,32.8596774193548,31
"Atalaia",4,0.11,"LRRJ","W-E",2.671,23.13,0.566,3.332353,1.167,28,806552.061675709,7454866.80522792,508.051757,32.8596774193548,31
"Atalaia",5,0.06,"LRRJ","W-E",2.671,23.13,0.566,3.332353,1.167,28,806552.061675709,7454866.80522792,508.051757,32.8596774193548,31
