"site","tamanho_mm","region","subregion","chl_mean","sst_mean","fwd_mean","wf_log","rugosity","easting","northing","inclinacao","distance_S","str_ab","str_size"
"Almada",8.409,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,511310.39550266,7416730.48433639,27.6833333333333,216.85013,9,24.7888888888889
"Almada",7.787,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,511310.39550266,7416730.48433639,27.6833333333333,216.85013,9,24.7888888888889
"Almada",10.223,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,511310.39550266,7416730.48433639,27.6833333333333,216.85013,9,24.7888888888889
"Almada",6.958,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,511310.39550266,7416730.48433639,27.6833333333333,216.85013,9,24.7888888888889
"Almada",7.352,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,511310.39550266,7416730.48433639,27.6833333333333,216.85013,9,24.7888888888889
"Almada",9.733,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,511310.39550266,7416730.48433639,27.6833333333333,216.85013,9,24.7888888888889
"Almada",9.241,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,511310.39550266,7416730.48433639,27.6833333333333,216.85013,9,24.7888888888889
"Almada",7.481,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,511310.39550266,7416730.48433639,27.6833333333333,216.85013,9,24.7888888888889
"Almada",9.402,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,511310.39550266,7416730.48433639,27.6833333333333,216.85013,9,24.7888888888889
"Almada",8.273,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,511310.39550266,7416730.48433639,27.6833333333333,216.85013,9,24.7888888888889
"Almada",8.787,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,511310.39550266,7416730.48433639,27.6833333333333,216.85013,9,24.7888888888889
"Almada",8.826,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,511310.39550266,7416730.48433639,27.6833333333333,216.85013,9,24.7888888888889
"Almada",8.789,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,511310.39550266,7416730.48433639,27.6833333333333,216.85013,9,24.7888888888889
"Almada",7.239,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,511310.39550266,7416730.48433639,27.6833333333333,216.85013,9,24.7888888888889
"Almada",7.681,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,511310.39550266,7416730.48433639,27.6833333333333,216.85013,9,24.7888888888889
"Almada",9.34,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,511310.39550266,7416730.48433639,27.6833333333333,216.85013,9,24.7888888888889
"Almada",8.984,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,511310.39550266,7416730.48433639,27.6833333333333,216.85013,9,24.7888888888889
"Almada",8.597,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,511310.39550266,7416730.48433639,27.6833333333333,216.85013,9,24.7888888888889
"Almada",8.175,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,511310.39550266,7416730.48433639,27.6833333333333,216.85013,9,24.7888888888889
"Almada",8.785,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,511310.39550266,7416730.48433639,27.6833333333333,216.85013,9,24.7888888888889
"Almada",6.843,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,511310.39550266,7416730.48433639,27.6833333333333,216.85013,9,24.7888888888889
"Almada",7.476,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,511310.39550266,7416730.48433639,27.6833333333333,216.85013,9,24.7888888888889
"Almada",8.936,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,511310.39550266,7416730.48433639,27.6833333333333,216.85013,9,24.7888888888889
"Almada",9.504,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,511310.39550266,7416730.48433639,27.6833333333333,216.85013,9,24.7888888888889
"Almada",8.642,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,511310.39550266,7416730.48433639,27.6833333333333,216.85013,9,24.7888888888889
"Almada",9.5,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,511310.39550266,7416730.48433639,27.6833333333333,216.85013,9,24.7888888888889
"Almada",7.597,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,511310.39550266,7416730.48433639,27.6833333333333,216.85013,9,24.7888888888889
"Almada",6.472,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,511310.39550266,7416730.48433639,27.6833333333333,216.85013,9,24.7888888888889
