site	tamanho_mm	chl_mean	sst_mean	fwd_mean	wf_log	rugosity	easting	northing	ext_m_chth	incl_graus_chth	ndvi_sup_diff	subregion	region	abund
Cibratel	2.324826087	7.127	25.259	0.977	4.079989	1.257	316145.0264	7322342.063	3.644	52.6	0.06302	MRBS	SW-NE	129
Sonho	1.653726257	9.866	25.275	0.994	4.073635	1.173	317059.8756	7322861.221	9.37	15.6	0.04472	MRBS	SW-NE	179
Pescadores	2.049019048	8.049	25.222	1	4.11954	1.213	317882.2964	7323065.647	8.456	12	-0.043086667	MRBS	SW-NE	116
Guaiúba	1.638773869	12.219	25.538	1.031	3.738743	1.25	368188.079	7343400.764	3.852	27.2	0.084053333	MRBS	SW-NE	444
Astúrias	1.455951299	5.767	25.399	0.949	3.6317	1.413	371222.1054	7344123.834	4.732	14.4	0.132546667	MRBS	SW-NE	317
Enseada (Guarujá)	2.512674699	6.934	25.436	0.922	3.91065	1.044	373103.9892	7345856.002	6.842	9.6	0.036686667	MRBS	SW-NE	83
Éden	1.932796748	4.568	25.402	0.859	3.90032	1.312	379312.8236	7346733.525	3.292	39	0.023346667	MRBS	SW-NE	123
Sorocotuba	2.017370787	4.629	25.439	0.851	3.840626	1.431	379276.7261	7347274.728	3.402	37.8	-0.010353333	MRBS	SW-NE	89
Pernambuco	2.360100503	5.843	24.923	0.839	3.902347	1.28	379518.7055	7348143.836	3.99	19.8	0.02354	MRBS	SW-NE	344
São Pedro	2.134407035	5.287	25.183	0.883	3.73748	1.402	381991.1262	7355599.195	NA	23.2	0.030146667	MRBS	SW-NE	497
Iporanga	2.086169492	4.891	25.326	0.859	4.072367	1.073	383162.1948	7355811.396	5.824	9.4	0.176392857	MRBS	SW-NE	211
Taguaíba	1.492790179	5.328	25.316	0.867	4.004794	1.211	383187.4107	7357095.017	3.906	13.8	0.0966	MRBS	SW-NE	226
Preta	1.764683168	7.72	25.084	0.856	3.949347	1.161	383984.6941	7359235.312	6.116	12.6	0.050328571	MRBS	SW-NE	63
Branca	2.678862069	5.304	25.231	0.849	3.997371	1.179	384191.7236	7359449.587	2.974	22.8	0.053753333	MRBS	SW-NE	236
Riviera de São Lourenço	2.497387597	7.33	25.588	0.882	3.913033	1.248	394387.3632	7365242.121	2.92	32	0.006266667	MRBS	SW-NE	130
Indaiá	1.562829146	7.51	25.632	0.791	3.992025	1.076	398035.2777	7367331.192	3.406	15.4	0.053246667	MRBS	SW-NE	220
Canto do Itaguaí	2.012924242	4.564	25.836	0.72	3.918769	1.146	410788.4615	7371875.998	4.674	17.6	0.038073333	MRBS	SW-NE	198
Engenho	2.048425287	4.549	25.266	0.747	3.88428	1.233	420138.5007	7371509.813	5.496	10.6	0.097773333	MRBS	SW-NE	87
Toque Toque Pequeno	1.696836735	3.446	25.873	0.637	3.741743	1.244	445251.6791	7366205.846	NA	29.4	0.1206	SSCh	SW-NE	99
Toque Toque Grande	2.183642857	2.928	25.608	0.703	3.69964	1.225	447880.6069	7363691.244	NA	33.8	0.008106667	SSCh	SW-NE	100
Guaecá	2.10383	4.178	25.878	0.696	3.613756	1.462	452259.2327	7365410.293	NA	25.6	0.14056	SSCh	SW-NE	344
Baleeiro	2.158220339	5.303	25.073	0.603	3.412781	1.221	456852.6847	7364640.551	NA	12.2	0.080286667	SSCh	SW-NE	118
Pontal da Cruz	3.63090404	5.024	25.011	0.839	2.793518	1.333	459225.6592	7370773.57	NA	20.2	0.08648	SSCh	SW-NE	195
Cigarras	1.9765	4.541	25.453	0.815	3.317324	1.41	459437.5525	7375777.286	NA	46.6	0.09006	SSCh	SW-NE	56
Maranduba	2.965085714	3.456	25.27	0.8	2.850672	1.271	477032.2496	7395424.684	1.9	29.6	-0.063086667	Ubatuba	SW-NE	289
Bravinha	3.345653846	4.057	26.17	0.747	2.940125	1.318	482355.901	7400392.882	2.54	30.6	0.07282	Ubatuba	SW-NE	1263
Lamberto	4.418118421	3.609	25.924	0.669	2.427247	1.369	488539.97	7401509.409	1.458	50.2	0.09276	Ubatuba	SW-NE	155
Enseada (Ubatuba)	3.175426667	2.114	25.484	0.673	2.94718	1.034	491415.4751	7401023.156	0.948	71	0.00942	Ubatuba	SW-NE	76
Grande (Ubatuba)	2.618711864	2.172	24.905	0.676	3.61215	1.076	493899.0199	7404772.924	4.588	20.4	0.117153333	Ubatuba	SW-NE	120
Matarazzo	3.233368421	5.68	25.804	0.748	3.504823	1.262	493486.7347	7408702.813	4.22	18.8	0.105013333	Ubatuba	SW-NE	132
Itaguá	3.58339645	3.166	25.618	0.743	3.25785	1.541	495451.7626	7406670.991	0.756	50.2	0.033193333	Ubatuba	SW-NE	167
Félix	2.561847826	2.153	25.028	0.648	3.768971	1.461	502953.0884	7413052.471	5.298	25	0.0896	Ubatuba	SW-NE	94
Justa	4.152817734	6.764	24.722	0.619	3.331238	1.176	509111.2936	7419082.266	3.082	39.2	-0.149833333	Ubatuba	SW-NE	367
Almada	4.682466063	3.641	25.162	0.615	2.59735	1.168	511310.3955	7416730.484	6.16	38.6	0.006213333	Ubatuba	SW-NE	233
Picinguaba	3.076235294	2.603	24.98	0.515	3.074111	1.328	516429.1422	7415010.852	7.48	22.6	0.1046	Ubatuba	SW-NE	103
Meio	4.391554455	1.669	25.452	0.522	3.5907	1.103	528183.1944	7417252.009	8.28	3.2	0.080666667	Ubatuba	SW-NE	288
Ranchos	4.616595041	1.703	25.456	0.527	3.77276	1.53	528457.1821	7417351.71	7.666	31.2	0.106566667	Ubatuba	SW-NE	121
Prainha (Paraty)	4.069910959	4.971	26.135	0.777	3.166635	1.104	531273.6127	7439892.16	NA	NA	-0.023653333	SCRJ	W-E	146
Morto	4.116821429	9.98	26.013	0.842	2.63851	1.258	537209.9905	7450979.866	6.83	38	0.146286667	SCRJ	W-E	111
Tarituba	4.367326425	5.755	26.125	0.63	2.124025	1.055	541744.0575	7451267.933	3.732	14	0.081006667	SCRJ	W-E	185
Coqueiro	4.995985149	6.348	26.081	0.52	3.70529	1.082	545783.6918	7452294.542	8.19	7.6	0.124106667	SCRJ	W-E	326
Alta	4.698195122	3.585	25.422	0.547	3.15165	1.222	588037.3703	7452438.2	1.58	33	-0.028226667	SCRJ	W-E	426
Clubmed	4.686161765	7.681	25.239	0.681	3.471664	1.233	592656.5579	7456412.686	2.436	45	0.19544	SCRJ	W-E	501
Grumari	4.386945545	4.66	24.688	0.534	4.04478	1.235	653597.166	7451182.643	2.624	26	0.096313333	MRRJ	W-E	315
Joatinga	3.619409639	4.172	24.369	0.552	4.043718	1.129	675304.0533	7453824.081	4.666	23	0.145833333	MRRJ	W-E	395
Leblon	3.47812	5.541	24.408	0.606	4.061288	1.085	681725.423	7456505.481	4.68	23.2	0.144953333	MRRJ	W-E	151
Arpoador	3.406315217	5.985	24.305	0.675	4.140668	1.245	685372.3471	7456388.958	2.064	33.6	-0.003193333	MRRJ	W-E	173
Vermelha	4.651547297	8.44	23.979	0.958	3.118625	1.363	688313.1413	7460397.231	3.414	28	0.13492	MRRJ	W-E	163
Piratininga	4.885481481	12.596	23.964	0.988	4.040167	1.047	697650.9161	7459897.642	3.264	18.4	0.262653333	MRRJ	W-E	27
Itaipu	4.643942149	8.427	24.002	0.989	3.32882	1.056	700162.8368	7458040.285	3.666	12.6	0.06884	MRRJ	W-E	124
Maricá	2.980142857	6.882	24.17	0.609	4.0368	1.183	736321.6738	7459240.541	3.272	17.8	0.105073333	MRRJ	W-E	64
Saquarema	5.481465686	4.884	24.051	0.709	4.140967	1.142	757042.6457	7461217.899	5.454	30.2	0.056773333	MRRJ	W-E	213
Ponta da Cabeça	3.50325	2.685	23.091	0.568	3.822869	1.202	804012.8468	7455976.989	5.114	9.6	0.1004	LRRJ	W-E	65
Prainha (Arraial do Cabo)	4.490983333	1.606	23.041	0.569	3.419994	1.156	805170.3094	7458442.112	5.58	12.8	0.11094	LRRJ	W-E	65
Atalaia	3.832348837	2.671	23.13	0.566	3.332353	1.167	806552.0617	7454866.805	2.416	26.8	0.114986667	LRRJ	W-E	172
Forno (Arraial do Cabo)	3.394710784	2.211	23.091	0.555	3.037608	1.277	806079.8843	7456829.616	3.38	21.8	0.118593333	LRRJ	W-E	1698
Forte	4.878748858	2.517	23.08	0.573	3.402715	1.122	806998.5815	7466004.846	2.7	38.2	0.12	LRRJ	W-E	221
Conchas	5.31870936	2.968	23.164	0.658	3.933147	1.44	809834.0963	7467893.511	2.664	31.8	0.07368	LRRJ	W-E	243
Geribá	5.034045977	2.419	23.082	0.708	3.797723	1.187	817896.8579	7477374.225	2.24	19	0.152826667	LRRJ	W-E	93
Ferradurinha	6.086437186	2.335	23.053	0.711	3.898375	1.17	818450.1137	7477286.134	2.144	21.2	0.06734	LRRJ	W-E	1402
Ferradura	3.975985437	2.219	23.236	0.7	3.58096	1.242	820017.32	7478434.954	4.686	38.2	0.201833333	LRRJ	W-E	382
Forno (Búzios)	4.111136585	2.114	23.243	0.714	3.872193	1.098	820920.9404	7479357.105	1.832	17.6	0.15874	LRRJ	W-E	268
