site	region	subregion	distance_S	easting	northing	tamanho_mm	chl_mean	sst_mean	fwd_mean	wf_log	rugosity	inclinacao	Tetr_size	Tetr_density	Brach_cover	Brach_size	perna_PA	perna_cover	Brach_RW
Cibratel	south	south1	0	316145.0264	7322342.063	31.500	7.127	25.259	0.977	4.080	1.257	48.800	4.300	28.600	76.200	9.133	1	1.000	110.856
Cibratel	south	south1	0	316145.0264	7322342.063	30.940	7.127	25.259	0.977	4.080	1.257	48.800	4.300	28.600	76.200	9.133	1	1.000	110.856
Cibratel	south	south1	0	316145.0264	7322342.063	28.430	7.127	25.259	0.977	4.080	1.257	48.800	4.300	28.600	76.200	9.133	1	1.000	110.856
Cibratel	south	south1	0	316145.0264	7322342.063	30.450	7.127	25.259	0.977	4.080	1.257	48.800	4.300	28.600	76.200	9.133	1	1.000	110.856
Cibratel	south	south1	0	316145.0264	7322342.063	29.790	7.127	25.259	0.977	4.080	1.257	48.800	4.300	28.600	76.200	9.133	1	1.000	110.856
Cibratel	south	south1	0	316145.0264	7322342.063	30.000	7.127	25.259	0.977	4.080	1.257	48.800	4.300	28.600	76.200	9.133	1	1.000	110.856
Cibratel	south	south1	0	316145.0264	7322342.063	29.500	7.127	25.259	0.977	4.080	1.257	48.800	4.300	28.600	76.200	9.133	1	1.000	110.856
Cibratel	south	south1	0	316145.0264	7322342.063	27.830	7.127	25.259	0.977	4.080	1.257	48.800	4.300	28.600	76.200	9.133	1	1.000	110.856
Cibratel	south	south1	0	316145.0264	7322342.063	27.740	7.127	25.259	0.977	4.080	1.257	48.800	4.300	28.600	76.200	9.133	1	1.000	110.856
Cibratel	south	south1	0	316145.0264	7322342.063	27.700	7.127	25.259	0.977	4.080	1.257	48.800	4.300	28.600	76.200	9.133	1	1.000	110.856
Cibratel	south	south1	0	316145.0264	7322342.063	30.650	7.127	25.259	0.977	4.080	1.257	48.800	4.300	28.600	76.200	9.133	1	1.000	110.856
Cibratel	south	south1	0	316145.0264	7322342.063	27.660	7.127	25.259	0.977	4.080	1.257	48.800	4.300	28.600	76.200	9.133	1	1.000	110.856
Cibratel	south	south1	0	316145.0264	7322342.063	25.470	7.127	25.259	0.977	4.080	1.257	48.800	4.300	28.600	76.200	9.133	1	1.000	110.856
Cibratel	south	south1	0	316145.0264	7322342.063	28.330	7.127	25.259	0.977	4.080	1.257	48.800	4.300	28.600	76.200	9.133	1	1.000	110.856
Cibratel	south	south1	0	316145.0264	7322342.063	27.890	7.127	25.259	0.977	4.080	1.257	48.800	4.300	28.600	76.200	9.133	1	1.000	110.856
Cibratel	south	south1	0	316145.0264	7322342.063	28.400	7.127	25.259	0.977	4.080	1.257	48.800	4.300	28.600	76.200	9.133	1	1.000	110.856
Cibratel	south	south1	0	316145.0264	7322342.063	27.130	7.127	25.259	0.977	4.080	1.257	48.800	4.300	28.600	76.200	9.133	1	1.000	110.856
Cibratel	south	south1	0	316145.0264	7322342.063	22.570	7.127	25.259	0.977	4.080	1.257	48.800	4.300	28.600	76.200	9.133	1	1.000	110.856
Cibratel	south	south1	0	316145.0264	7322342.063	25.620	7.127	25.259	0.977	4.080	1.257	48.800	4.300	28.600	76.200	9.133	1	1.000	110.856
Cibratel	south	south1	0	316145.0264	7322342.063	27.330	7.127	25.259	0.977	4.080	1.257	48.800	4.300	28.600	76.200	9.133	1	1.000	110.856
Cibratel	south	south1	0	316145.0264	7322342.063	24.660	7.127	25.259	0.977	4.080	1.257	48.800	4.300	28.600	76.200	9.133	1	1.000	110.856
Cibratel	south	south1	0	316145.0264	7322342.063	25.310	7.127	25.259	0.977	4.080	1.257	48.800	4.300	28.600	76.200	9.133	1	1.000	110.856
Cibratel	south	south1	0	316145.0264	7322342.063	24.100	7.127	25.259	0.977	4.080	1.257	48.800	4.300	28.600	76.200	9.133	1	1.000	110.856
Cibratel	south	south1	0	316145.0264	7322342.063	22.580	7.127	25.259	0.977	4.080	1.257	48.800	4.300	28.600	76.200	9.133	1	1.000	110.856
Cibratel	south	south1	0	316145.0264	7322342.063	22.090	7.127	25.259	0.977	4.080	1.257	48.800	4.300	28.600	76.200	9.133	1	1.000	110.856
Cibratel	south	south1	0	316145.0264	7322342.063	23.580	7.127	25.259	0.977	4.080	1.257	48.800	4.300	28.600	76.200	9.133	1	1.000	110.856
Sonho	south	south1	1.051875	317059.8756	7322861.221	34.040	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	28.130	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	27.590	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	25.900	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	27.290	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	24.720	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	24.250	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	21.850	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	22.630	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	20.730	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	22.200	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	22.200	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	21.720	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	25.000	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	22.250	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	21.520	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	20.720	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	20.270	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	19.970	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	21.120	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	22.250	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	20.820	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	20.740	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	19.340	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	20.880	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	20.000	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	18.280	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	21.400	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	19.000	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	19.260	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	17.250	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	18.130	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	17.700	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	16.250	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	15.730	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	12.760	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	14.350	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	13.800	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	14.120	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	12.340	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Sonho	south	south1	1.051875	317059.8756	7322861.221	11.670	9.866	25.275	0.994	4.074	1.173	19.100	4.564	13.800	90.300	6.909	1	4.999	NA
Pescadores	south	south1	1.88191	317882.2964	7323065.647	13.900	8.049	25.222	1.000	4.120	1.213	15.200	3.791	39.200	90.000	8.795	0	0.000	81.187
Pescadores	south	south1	1.88191	317882.2964	7323065.647	20.400	8.049	25.222	1.000	4.120	1.213	15.200	3.791	39.200	90.000	8.795	0	0.000	81.187
Pescadores	south	south1	1.88191	317882.2964	7323065.647	17.200	8.049	25.222	1.000	4.120	1.213	15.200	3.791	39.200	90.000	8.795	0	0.000	81.187
Pescadores	south	south1	1.88191	317882.2964	7323065.647	25.700	8.049	25.222	1.000	4.120	1.213	15.200	3.791	39.200	90.000	8.795	0	0.000	81.187
Pescadores	south	south1	1.88191	317882.2964	7323065.647	22.400	8.049	25.222	1.000	4.120	1.213	15.200	3.791	39.200	90.000	8.795	0	0.000	81.187
Pescadores	south	south1	1.88191	317882.2964	7323065.647	27.200	8.049	25.222	1.000	4.120	1.213	15.200	3.791	39.200	90.000	8.795	0	0.000	81.187
Guaiúba	south	south1	56.14724	368188.079	7343400.764	41.740	12.219	25.538	1.031	3.739	1.250	31.250	3.710	23.733	80.500	8.877	1	0.557	79.152
Guaiúba	south	south1	56.14724	368188.079	7343400.764	37.960	12.219	25.538	1.031	3.739	1.250	31.250	3.710	23.733	80.500	8.877	1	0.557	79.152
Guaiúba	south	south1	56.14724	368188.079	7343400.764	29.980	12.219	25.538	1.031	3.739	1.250	31.250	3.710	23.733	80.500	8.877	1	0.557	79.152
Guaiúba	south	south1	56.14724	368188.079	7343400.764	28.250	12.219	25.538	1.031	3.739	1.250	31.250	3.710	23.733	80.500	8.877	1	0.557	79.152
