"site","replicate","vivos_n","subregion","region","chl_mean","sst_mean","fwd_mean","wf_log","rugosity","inclinacao","easting","northing","distance_S","str_size","str_ab","incl_graus_tetra"
"Almada",1,12,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada",2,15,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada",3,31,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada",4,30,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada",5,32,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada",6,25,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada",7,18,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada",8,31,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada",9,24,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada",10,15,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada",11,21,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada",12,35,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
